Technology,Age,CustomerSince,SupportCallsLastYear,AverageBill,ChurnIndicator,churn_label
phone,28,1/8/15 9:27 AM,1,42,0.006,0
phone,19,5/5/14 9:27 AM,0,69,0.003,0
4G,65,11/14/13 9:27 AM,1,73,0.011,0
4G,28,3/13/14 10:27 AM,0,15,0.022,0
4G,32,11/2/14 9:27 AM,9,80,0.026,0
phone,38,2/28/13 9:27 AM,0,71,0.005,0
phone,44,11/15/15 9:27 AM,1,108,0,0
landline,26,10/3/14 9:27 AM,0,18,0.004,0
fiber,19,10/6/14 9:27 AM,0,66,0.005,0
phone,53,8/3/12 9:27 AM,0,70,0.006,0
phone,45,7/9/15 9:27 AM,0,88,0.001,0
phone,15,6/6/13 9:27 AM,1,98,0.006,0
fiber,76,8/14/13 9:27 AM,0,42,0.014,0
landline,20,9/21/10 9:27 AM,7,29,0.091,0
landline,11,3/10/14 10:27 AM,10,28,0.044,0
4G,50,11/21/13 9:27 AM,0,41,0.01,0
phone,3,4/16/12 9:27 AM,9,99,0.047,0
fiber,30,3/8/13 9:27 AM,2,73,0.029,0
phone,42,2/14/15 9:27 AM,0,104,0.001,0
phone,36,11/10/15 9:27 AM,0,49,0,0
4G,47,10/24/11 9:27 AM,2,25,0.094,0
landline,71,5/30/13 9:27 AM,2,108,0.004,0
landline,60,1/16/13 9:27 AM,0,38,0.005,0
phone,62,11/24/15 9:27 AM,1,32,0,0
phone,78,1/20/11 9:27 AM,0,22,0.028,0
landline,75,8/20/15 9:27 AM,1,94,0,0
4G,9,2/15/14 9:27 AM,3,105,0.013,0
phone,23,10/13/10 9:27 AM,2,86,0.023,0
4G,66,8/19/14 9:27 AM,0,46,0.005,0
fiber,57,10/2/13 9:27 AM,3,33,0.067,0
4G,20,7/31/15 9:27 AM,3,56,0.005,0
4G,29,6/8/11 9:27 AM,4,11,0.389,0
fiber,51,10/16/14 9:27 AM,0,75,0.004,0
phone,74,9/10/15 9:27 AM,6,46,0.005,0
phone,56,9/27/11 9:27 AM,1,97,0.011,0
phone,6,10/23/13 9:27 AM,0,13,0.021,0
4G,23,9/8/12 9:27 AM,7,22,0.225,0
4G,74,5/14/11 9:27 AM,0,11,0.079,0
4G,29,6/11/15 9:27 AM,0,89,0.001,0
phone,50,8/7/10 9:27 AM,1,83,0.016,0
fiber,59,3/7/11 9:27 AM,1,106,0.023,0
phone,52,11/20/11 9:27 AM,0,16,0.032,0
phone,45,1/22/14 9:27 AM,7,45,0.042,0
fiber,77,12/14/14 9:27 AM,6,20,0.088,0
phone,64,11/5/13 9:27 AM,3,11,0.097,0
phone,78,5/6/12 9:27 AM,1,51,0.018,0
phone,79,6/24/14 9:27 AM,0,20,0.009,0
fiber,42,8/8/11 9:27 AM,0,105,0.01,0
phone,73,10/24/14 9:27 AM,2,52,0.008,0
4G,9,12/22/12 9:27 AM,1,33,0.034,0
phone,35,3/9/11 9:27 AM,0,79,0.008,0
4G,50,2/28/14 9:27 AM,1,48,0.014,0
phone,25,11/8/12 9:27 AM,2,37,0.032,0
phone,75,4/15/11 9:27 AM,0,47,0.013,0
phone,60,3/24/13 10:27 AM,4,19,0.09,0
phone,72,11/3/15 9:27 AM,0,23,0.001,0
phone,49,3/24/12 10:27 AM,7,106,0.035,0
4G,54,9/24/10 9:27 AM,1,48,0.041,0
phone,10,5/3/12 9:27 AM,0,14,0.033,0
landline,0,12/5/13 9:27 AM,1,109,0.002,0
fiber,1,9/6/11 9:27 AM,0,59,0.018,0
phone,9,4/27/15 9:27 AM,1,40,0.004,0
landline,0,8/1/11 9:27 AM,8,95,0.026,0
phone,18,8/22/15 9:27 AM,0,26,0.002,0
fiber,55,7/30/11 9:27 AM,0,86,0.013,0
phone,8,4/16/12 9:27 AM,0,24,0.019,0
landline,8,3/10/14 10:27 AM,5,76,0.009,0
4G,3,2/27/12 9:27 AM,3,63,0.046,0
fiber,25,8/8/10 9:27 AM,0,110,0.012,0
4G,13,12/24/14 9:27 AM,0,85,0.002,0
phone,45,10/14/11 9:27 AM,2,44,0.036,0
4G,54,1/13/11 9:27 AM,3,86,0.043,0
4G,13,12/23/14 9:27 AM,1,11,0.034,0
landline,17,8/11/11 9:27 AM,0,34,0.008,0
phone,11,8/13/11 9:27 AM,0,27,0.02,0
phone,63,7/12/15 9:27 AM,0,95,0.001,0
fiber,38,7/18/14 9:27 AM,2,31,0.034,0
landline,38,5/4/13 9:27 AM,1,103,0.003,0
4G,73,8/12/14 9:27 AM,0,36,0.007,0
4G,38,1/11/12 9:27 AM,6,79,0.066,0
landline,47,11/28/14 9:27 AM,0,53,0.001,0
phone,20,6/13/13 9:27 AM,0,82,0.004,0
4G,9,11/21/10 9:27 AM,0,31,0.031,0
landline,42,4/25/15 9:27 AM,0,43,0.001,0
phone,12,10/4/15 9:27 AM,0,79,0,0
landline,53,6/1/15 9:27 AM,1,95,0.001,0
4G,71,8/13/14 9:27 AM,1,68,0.007,0
phone,57,3/27/14 10:27 AM,2,14,0.046,0
landline,56,8/1/10 9:27 AM,0,17,0.02,0
phone,36,1/6/14 9:27 AM,5,20,0.073,0
4G,62,12/6/14 9:27 AM,1,101,0.004,0
4G,51,3/31/14 9:27 AM,2,54,0.018,0
phone,75,1/23/11 9:27 AM,0,62,0.01,0
fiber,22,5/22/15 9:27 AM,0,44,0.003,0
landline,70,5/4/15 9:27 AM,0,65,0.001,0
4G,2,2/10/11 9:27 AM,5,101,0.054,0
phone,37,7/14/11 9:27 AM,0,71,0.008,0
4G,64,8/27/10 9:27 AM,0,15,0.067,0
phone,4,7/21/14 9:27 AM,6,29,0.043,0
4G,27,10/31/10 10:27 AM,1,93,0.021,0
landline,72,12/24/11 9:27 AM,0,58,0.004,0
4G,17,5/7/12 9:27 AM,0,34,0.02,0
fiber,4,12/13/12 9:27 AM,10,97,0.086,0
4G,2,7/19/11 9:27 AM,9,56,0.149,0
landline,47,8/25/10 9:27 AM,1,30,0.022,0
phone,62,3/6/13 9:27 AM,1,87,0.008,0
phone,7,10/24/12 9:27 AM,0,81,0.005,0
4G,54,7/22/10 9:27 AM,3,25,0.163,0
landline,45,8/16/15 9:27 AM,0,11,0.002,0
landline,31,9/11/12 9:27 AM,0,57,0.004,0
fiber,21,9/25/15 9:27 AM,0,68,0.001,0
landline,17,9/25/13 9:27 AM,0,98,0.001,0
4G,14,8/27/11 9:27 AM,4,57,0.071,0
4G,33,6/21/11 9:27 AM,1,32,0.053,0
4G,22,2/3/15 9:27 AM,4,98,0.008,0
phone,20,6/7/11 9:27 AM,0,33,0.017,0
4G,62,6/2/12 9:27 AM,2,98,0.02,0
phone,51,4/16/14 9:27 AM,6,94,0.016,0
phone,52,3/21/12 10:27 AM,1,72,0.013,0
landline,56,11/16/10 9:27 AM,0,106,0.003,0
4G,10,10/30/13 10:27 AM,0,42,0.01,0
4G,22,7/26/11 9:27 AM,2,91,0.027,0
fiber,68,10/9/14 9:27 AM,9,66,0.045,0
4G,49,3/1/14 9:27 AM,1,50,0.014,0
4G,53,3/21/12 10:27 AM,0,27,0.026,0
phone,73,5/10/15 9:27 AM,7,86,0.007,0
phone,67,1/1/13 9:27 AM,0,37,0.01,0
landline,24,3/30/15 9:27 AM,1,37,0.002,0
fiber,20,5/4/14 9:27 AM,4,71,0.029,0
phone,1,7/4/15 9:27 AM,8,33,0.015,0
phone,60,11/29/13 9:27 AM,0,15,0.017,0
phone,24,8/14/12 9:27 AM,1,23,0.037,0
4G,30,4/9/14 9:27 AM,1,103,0.006,0
landline,20,3/5/13 9:27 AM,2,37,0.014,0
4G,42,7/3/10 9:27 AM,0,89,0.012,0
fiber,33,8/11/14 9:27 AM,1,14,0.048,0
phone,43,11/5/15 9:27 AM,3,101,0.001,0
landline,51,7/30/10 9:27 AM,8,66,0.046,0
landline,78,12/3/12 9:27 AM,0,70,0.003,0
4G,76,2/5/12 9:27 AM,0,37,0.02,0
fiber,22,11/20/14 9:27 AM,0,75,0.004,0
landline,3,11/23/10 9:27 AM,4,105,0.015,0
4G,72,11/7/11 9:27 AM,0,19,0.041,0
4G,79,8/12/14 9:27 AM,4,46,0.028,0
phone,63,11/22/14 9:27 AM,0,87,0.002,0
landline,46,9/26/15 9:27 AM,3,88,0.001,0
fiber,41,6/13/11 9:27 AM,0,79,0.014,0
phone,4,12/21/11 9:27 AM,0,49,0.01,0
phone,6,10/30/13 10:27 AM,0,41,0.007,0
landline,53,2/14/11 9:27 AM,1,86,0.007,0
landline,66,10/30/13 10:27 AM,4,35,0.019,0
phone,35,7/19/12 9:27 AM,9,31,0.139,0
phone,45,10/13/10 9:27 AM,9,47,0.139,0
phone,27,8/8/12 9:27 AM,2,43,0.029,0
4G,53,11/22/11 9:27 AM,2,67,0.034,0
fiber,5,11/6/13 9:27 AM,1,33,0.032,0
4G,68,1/8/12 9:27 AM,0,88,0.008,0
fiber,38,12/22/11 9:27 AM,5,80,0.075,0
4G,4,1/6/12 9:27 AM,1,15,0.099,0
4G,27,2/24/15 9:27 AM,1,63,0.005,0
4G,26,2/15/13 9:27 AM,1,50,0.021,0
landline,18,4/3/14 9:27 AM,6,52,0.014,0
fiber,20,10/19/15 9:27 AM,0,104,0,0
phone,14,1/4/11 9:27 AM,0,28,0.022,0
4G,64,7/16/13 9:27 AM,9,93,0.049,0
landline,50,5/15/14 9:27 AM,8,12,0.075,0
4G,71,6/4/14 9:27 AM,1,13,0.045,0
landline,21,4/13/14 9:27 AM,0,32,0.003,0
4G,6,11/20/13 9:27 AM,4,58,0.034,0
4G,29,3/18/14 10:27 AM,1,22,0.03,0
phone,5,10/3/12 9:27 AM,2,85,0.014,0
phone,64,1/19/12 9:27 AM,0,29,0.017,0
4G,54,11/10/10 9:27 AM,0,90,0.011,0
4G,26,2/4/15 9:27 AM,0,42,0.004,0
phone,70,2/13/12 9:27 AM,9,78,0.062,0
phone,72,12/3/13 9:27 AM,0,98,0.003,0
fiber,72,5/14/14 9:27 AM,0,70,0.006,0
phone,17,6/2/11 9:27 AM,0,64,0.009,0
4G,46,12/22/14 9:27 AM,5,65,0.017,0
phone,50,5/27/13 9:27 AM,1,83,0.008,0
fiber,55,11/12/12 9:27 AM,10,110,0.078,0
4G,33,8/20/13 9:27 AM,5,71,0.037,0
4G,41,4/8/11 9:27 AM,5,81,0.066,0
landline,54,3/7/14 9:27 AM,0,72,0.002,0
phone,23,6/10/15 9:27 AM,0,45,0.001,0
fiber,4,3/3/15 9:27 AM,5,64,0.019,0
phone,60,1/1/14 9:27 AM,1,83,0.006,0
fiber,72,10/5/14 9:27 AM,0,61,0.005,0
fiber,46,2/16/15 9:27 AM,0,32,0.007,0
landline,43,7/21/15 9:27 AM,3,51,0.002,0
fiber,17,9/1/10 9:27 AM,0,69,0.019,0
phone,18,7/25/15 9:27 AM,1,41,0.002,0
landline,2,12/7/14 9:27 AM,0,92,0.001,0
landline,21,11/17/14 9:27 AM,1,89,0.002,0
landline,33,1/27/14 9:27 AM,5,74,0.01,0
4G,2,3/24/11 10:27 AM,1,32,0.056,0
4G,23,2/7/13 9:27 AM,1,103,0.01,0
phone,6,10/13/13 9:27 AM,1,40,0.014,0
4G,64,7/2/15 9:27 AM,0,81,0.001,0
4G,42,4/2/12 9:27 AM,2,15,0.14,0
4G,8,11/5/10 10:27 AM,2,67,0.043,0
phone,40,2/19/13 9:27 AM,1,36,0.02,0
landline,51,10/10/15 9:27 AM,0,68,0,0
fiber,75,2/24/15 9:27 AM,2,51,0.012,0
phone,13,3/24/15 10:27 AM,0,13,0.007,0
phone,57,7/30/15 9:27 AM,6,67,0.005,0
phone,31,6/8/12 9:27 AM,9,109,0.041,0
fiber,46,12/12/12 9:27 AM,5,83,0.055,0
landline,78,3/8/13 9:27 AM,4,106,0.008,0
phone,62,1/18/11 9:27 AM,4,35,0.088,0
phone,2,3/1/14 9:27 AM,1,102,0.004,0
4G,55,5/7/11 9:27 AM,2,44,0.059,0
phone,58,6/7/11 9:27 AM,1,40,0.029,0
phone,26,7/19/11 9:27 AM,0,97,0.006,0
landline,33,7/16/10 9:27 AM,1,81,0.008,0
4G,69,6/19/11 9:27 AM,10,106,0.088,0
4G,0,2/15/11 9:27 AM,6,93,0.069,0
fiber,21,3/13/14 10:27 AM,0,75,0.006,0
phone,62,10/9/13 9:27 AM,0,105,0.003,0
phone,12,11/30/10 9:27 AM,3,46,0.055,0
fiber,38,8/16/15 9:27 AM,0,105,0.001,0
4G,43,1/8/12 9:27 AM,9,106,0.07,0
4G,5,7/25/15 9:27 AM,8,88,0.008,0
landline,6,2/20/14 9:27 AM,3,88,0.005,0
fiber,76,7/14/10 9:27 AM,2,33,0.124,0
phone,32,3/30/11 9:27 AM,6,17,0.245,0
phone,14,4/11/12 9:27 AM,0,33,0.014,0
phone,71,7/20/11 9:27 AM,1,21,0.053,0
phone,22,5/31/14 9:27 AM,0,81,0.002,0
4G,19,8/25/11 9:27 AM,0,11,0.074,0
4G,46,1/9/12 9:27 AM,0,107,0.007,0
phone,63,8/19/10 9:27 AM,3,106,0.025,0
landline,79,8/7/14 9:27 AM,0,81,0.001,0
fiber,32,8/9/12 9:27 AM,4,107,0.039,0
fiber,43,11/14/12 9:27 AM,0,64,0.012,0
phone,50,11/4/15 9:27 AM,0,92,0,0
phone,14,7/31/14 9:27 AM,0,64,0.003,0
4G,46,8/1/15 9:27 AM,4,16,0.022,0
4G,78,12/23/14 9:27 AM,1,72,0.005,0
phone,79,4/14/14 9:27 AM,0,71,0.003,0
phone,34,8/21/10 9:27 AM,1,53,0.025,0
4G,34,12/7/10 9:27 AM,0,103,0.009,0
landline,0,4/21/14 9:27 AM,7,72,0.012,0
phone,57,4/23/11 9:27 AM,6,34,0.121,0
4G,72,5/14/13 9:27 AM,0,107,0.005,0
4G,52,11/16/12 9:27 AM,5,67,0.052,0
landline,22,4/18/11 9:27 AM,1,96,0.006,0
4G,61,2/22/12 9:27 AM,0,74,0.01,0
4G,12,9/27/13 9:27 AM,0,11,0.038,0
phone,69,10/4/13 9:27 AM,9,81,0.034,0
phone,56,12/22/13 9:27 AM,1,54,0.009,0
phone,46,8/7/11 9:27 AM,0,12,0.046,0
4G,6,8/1/15 9:27 AM,0,50,0.001,0
fiber,54,4/1/11 9:27 AM,2,25,0.143,0
landline,22,12/2/13 9:27 AM,1,64,0.004,0
fiber,41,10/12/13 9:27 AM,8,30,0.164,0
4G,43,1/18/14 9:27 AM,0,108,0.003,0
phone,51,10/4/12 9:27 AM,0,93,0.004,0
4G,77,3/25/14 10:27 AM,1,68,0.01,0
phone,15,8/22/10 9:27 AM,4,88,0.038,0
phone,22,1/5/12 9:27 AM,3,109,0.018,0
fiber,28,8/18/10 9:27 AM,0,101,0.013,0
fiber,26,3/24/13 10:27 AM,1,23,0.06,0
fiber,42,4/25/14 9:27 AM,7,17,0.195,0
4G,26,7/6/12 9:27 AM,1,24,0.054,0
4G,31,6/18/15 9:27 AM,1,65,0.003,0
4G,73,1/30/15 9:27 AM,6,102,0.011,0
phone,69,2/14/12 9:27 AM,1,110,0.009,0
phone,19,12/26/12 9:27 AM,3,24,0.062,0
phone,58,6/29/10 9:27 AM,1,16,0.086,0
phone,71,6/24/13 9:27 AM,1,65,0.01,0
landline,50,4/13/14 9:27 AM,2,86,0.004,0
landline,53,1/10/11 9:27 AM,0,42,0.007,0
4G,75,12/3/11 9:27 AM,0,93,0.008,0
4G,33,9/6/13 9:27 AM,0,105,0.004,0
landline,80,9/16/10 9:27 AM,0,51,0.006,0
landline,61,7/12/10 9:27 AM,0,52,0.007,0
4G,70,3/26/13 10:27 AM,0,77,0.007,0
4G,51,5/5/12 9:27 AM,0,61,0.011,0
landline,37,1/18/13 9:27 AM,0,76,0.002,0
landline,24,2/27/13 9:27 AM,0,27,0.007,0
4G,40,6/27/10 9:27 AM,1,50,0.041,0
4G,10,12/24/12 9:27 AM,0,18,0.031,0
landline,44,6/21/13 9:27 AM,2,84,0.006,0
4G,33,11/28/14 9:27 AM,0,66,0.003,0
fiber,6,11/7/11 9:27 AM,0,77,0.013,0
landline,32,9/5/15 9:27 AM,9,94,0.002,0
fiber,39,8/23/11 9:27 AM,0,74,0.015,0
phone,65,8/12/13 9:27 AM,0,27,0.011,0
landline,29,6/16/12 9:27 AM,0,17,0.013,0
phone,35,4/7/13 9:27 AM,1,109,0.006,0
phone,33,7/6/13 9:27 AM,3,97,0.013,0
phone,63,7/4/14 9:27 AM,2,102,0.005,0
phone,22,7/7/14 9:27 AM,0,68,0.003,0
4G,25,12/29/13 9:27 AM,1,13,0.057,0
phone,56,7/25/15 9:27 AM,2,89,0.002,0
landline,6,6/21/13 9:27 AM,1,97,0.003,0
phone,14,2/20/13 9:27 AM,1,15,0.047,0
landline,22,9/18/13 9:27 AM,0,97,0.001,0
fiber,70,7/6/12 9:27 AM,0,74,0.012,0
phone,9,11/25/12 9:27 AM,0,58,0.007,0
phone,17,12/2/14 9:27 AM,0,68,0.002,0
phone,70,7/10/15 9:27 AM,0,95,0.001,0
landline,70,7/19/10 9:27 AM,2,43,0.024,0
4G,41,9/14/14 9:27 AM,1,15,0.032,0
4G,78,6/3/11 9:27 AM,0,78,0.011,0
phone,14,5/5/11 9:27 AM,1,11,0.106,0
4G,74,5/8/12 9:27 AM,0,21,0.032,0
landline,23,4/13/11 9:27 AM,1,39,0.015,0
phone,25,12/21/12 9:27 AM,1,81,0.009,0
phone,71,10/3/15 9:27 AM,0,76,0,0
phone,43,2/5/14 9:27 AM,8,89,0.024,0
phone,68,11/6/11 9:27 AM,0,48,0.011,0
phone,47,1/11/14 9:27 AM,5,10,0.146,0
landline,2,10/2/10 9:27 AM,0,19,0.017,0
phone,8,1/23/15 9:27 AM,0,97,0.001,0
phone,71,10/8/10 9:27 AM,1,96,0.014,0
4G,18,11/28/13 9:27 AM,1,68,0.011,0
landline,24,2/7/12 9:27 AM,2,14,0.052,0
4G,18,2/28/14 9:27 AM,0,110,0.003,0
fiber,28,9/26/13 9:27 AM,1,80,0.014,0
phone,9,11/23/13 9:27 AM,6,17,0.107,0
phone,35,12/17/12 9:27 AM,1,34,0.022,0
4G,0,3/21/14 10:27 AM,0,72,0.005,0
landline,37,11/30/14 9:27 AM,0,19,0.003,0
phone,58,8/4/14 9:27 AM,6,81,0.015,0
phone,44,12/17/11 9:27 AM,0,77,0.007,0
phone,49,7/12/15 9:27 AM,0,72,0.001,0
phone,68,11/16/11 9:27 AM,0,110,0.005,0
landline,39,8/12/13 9:27 AM,0,95,0.002,0
4G,60,10/20/15 9:27 AM,0,77,0,0
fiber,67,4/26/14 9:27 AM,1,39,0.021,0
4G,27,3/3/11 9:27 AM,0,64,0.014,0
4G,31,10/12/11 9:27 AM,0,46,0.017,0
phone,1,2/13/14 9:27 AM,2,65,0.011,0
phone,50,7/22/13 9:27 AM,0,15,0.02,0
4G,73,3/16/13 10:27 AM,1,89,0.012,0
fiber,39,12/12/15 9:27 AM,0,20,0,0
phone,69,5/21/13 9:27 AM,9,40,0.081,0
4G,43,8/29/14 9:27 AM,4,48,0.025,0
4G,52,11/23/12 9:27 AM,0,33,0.018,0
4G,76,2/2/11 9:27 AM,8,71,0.117,0
4G,35,3/15/13 10:27 AM,4,36,0.072,0
fiber,39,7/5/14 9:27 AM,1,10,0.073,0
landline,0,10/20/12 9:27 AM,5,54,0.022,0
4G,50,4/28/11 9:27 AM,5,85,0.062,0
fiber,46,6/24/13 9:27 AM,1,104,0.012,0
phone,22,7/2/13 9:27 AM,0,27,0.011,0
4G,27,1/14/12 9:27 AM,6,37,0.14,0
4G,52,11/27/13 9:27 AM,4,102,0.019,0
phone,50,3/3/15 9:27 AM,0,55,0.002,0
phone,39,5/27/12 9:27 AM,2,37,0.036,0
4G,48,8/3/10 9:27 AM,3,60,0.068,0
4G,55,11/29/12 9:27 AM,0,60,0.01,0
phone,19,8/18/13 9:27 AM,1,88,0.007,0
landline,41,7/2/15 9:27 AM,1,17,0.003,0
landline,39,5/9/14 9:27 AM,9,108,0.009,0
phone,62,12/19/12 9:27 AM,6,61,0.043,0
fiber,60,5/3/12 9:27 AM,9,15,0.608,1
phone,72,7/29/11 9:27 AM,0,31,0.018,0
phone,39,6/29/10 9:27 AM,0,42,0.016,0
phone,76,3/19/13 10:27 AM,3,71,0.019,0
fiber,51,6/13/12 9:27 AM,2,34,0.078,0
phone,68,5/2/13 9:27 AM,1,46,0.014,0
4G,75,7/23/15 9:27 AM,0,45,0.002,0
landline,16,12/24/14 9:27 AM,0,34,0.002,0
4G,77,9/26/12 9:27 AM,4,103,0.03,0
4G,13,2/1/13 9:27 AM,0,14,0.039,0
landline,57,11/15/15 9:27 AM,5,48,0.001,0
phone,37,12/22/13 9:27 AM,3,43,0.023,0
landline,43,8/11/10 9:27 AM,0,65,0.005,0
4G,23,6/21/11 9:27 AM,1,96,0.018,0
phone,19,11/18/10 9:27 AM,4,106,0.03,0
phone,48,3/10/14 10:27 AM,4,94,0.012,0
landline,20,9/18/14 9:27 AM,0,79,0.001,0
fiber,35,2/11/13 9:27 AM,0,31,0.023,0
4G,77,8/15/11 9:27 AM,0,19,0.043,0
fiber,55,8/29/11 9:27 AM,1,37,0.059,0
landline,30,12/11/14 9:27 AM,0,57,0.001,0
landline,62,10/31/10 10:27 AM,2,55,0.018,0
4G,37,2/7/14 9:27 AM,2,72,0.015,0
phone,69,9/11/14 9:27 AM,0,79,0.002,0
landline,50,5/30/13 9:27 AM,3,22,0.029,0
fiber,11,10/6/10 9:27 AM,4,14,0.468,0
phone,30,3/15/15 10:27 AM,0,17,0.006,0
4G,38,11/15/10 9:27 AM,1,77,0.025,0
fiber,78,11/14/13 9:27 AM,3,25,0.084,0
fiber,4,3/20/14 10:27 AM,0,56,0.008,0
landline,25,7/22/11 9:27 AM,0,70,0.004,0
4G,45,9/7/11 9:27 AM,0,63,0.013,0
phone,27,12/2/14 9:27 AM,0,47,0.003,0
4G,73,8/2/10 9:27 AM,1,77,0.026,0
landline,71,7/30/14 9:27 AM,0,23,0.004,0
4G,21,11/26/10 9:27 AM,0,50,0.019,0
4G,12,7/18/11 9:27 AM,1,107,0.016,0
phone,11,3/26/12 9:27 AM,4,39,0.06,0
4G,32,8/19/10 9:27 AM,0,108,0.009,0
phone,58,9/26/15 9:27 AM,0,77,0,0
4G,31,7/30/10 9:27 AM,2,94,0.032,0
phone,24,6/22/14 9:27 AM,2,13,0.043,0
4G,67,11/18/14 9:27 AM,0,49,0.004,0
4G,67,2/18/13 9:27 AM,0,30,0.018,0
phone,66,12/16/14 9:27 AM,0,93,0.001,0
landline,5,5/14/12 9:27 AM,6,90,0.018,0
fiber,0,6/8/12 9:27 AM,0,64,0.014,0
fiber,19,3/18/11 10:27 AM,2,85,0.042,0
landline,48,11/5/15 9:27 AM,0,60,0,0
landline,7,10/14/12 9:27 AM,0,25,0.008,0
fiber,29,7/22/14 9:27 AM,8,53,0.06,0
fiber,14,9/23/13 9:27 AM,0,51,0.011,0
4G,64,11/6/14 9:27 AM,0,45,0.005,0
landline,60,6/15/13 9:27 AM,1,52,0.006,0
phone,31,8/2/10 9:27 AM,0,37,0.018,0
phone,39,3/20/12 10:27 AM,2,10,0.141,0
fiber,22,1/19/14 9:27 AM,1,101,0.009,0
phone,63,7/14/10 9:27 AM,1,32,0.043,0
fiber,47,1/30/15 9:27 AM,5,30,0.044,0
phone,5,7/27/15 9:27 AM,2,29,0.005,0
landline,27,10/10/10 9:27 AM,0,87,0.004,0
phone,73,10/12/12 9:27 AM,1,98,0.008,0
landline,41,11/19/12 9:27 AM,0,55,0.004,0
phone,23,5/27/11 9:27 AM,9,69,0.083,0
4G,74,9/7/10 9:27 AM,8,39,0.23,0
fiber,17,7/20/13 9:27 AM,3,28,0.087,0
4G,7,8/30/13 9:27 AM,1,39,0.022,0
phone,46,9/4/15 9:27 AM,1,18,0.004,0
phone,39,4/29/14 9:27 AM,3,79,0.01,0
phone,45,2/4/11 9:27 AM,0,14,0.044,0
phone,75,5/10/15 9:27 AM,1,87,0.002,0
phone,2,2/28/15 9:27 AM,3,64,0.006,0
fiber,49,11/22/13 9:27 AM,3,57,0.036,0
phone,62,3/27/13 10:27 AM,0,75,0.005,0
4G,59,8/8/14 9:27 AM,1,71,0.007,0
4G,63,10/19/15 9:27 AM,1,41,0.001,0
4G,23,6/18/12 9:27 AM,9,98,0.067,0
landline,43,5/18/12 9:27 AM,2,44,0.015,0
fiber,78,9/1/15 9:27 AM,0,103,0.001,0
phone,50,7/1/12 9:27 AM,2,32,0.041,0
4G,5,9/29/12 9:27 AM,0,53,0.011,0
phone,70,7/13/12 9:27 AM,2,71,0.018,0
phone,77,6/5/11 9:27 AM,0,76,0.008,0
landline,72,1/30/15 9:27 AM,1,32,0.003,0
phone,52,11/14/13 9:27 AM,0,77,0.003,0
phone,75,10/21/13 9:27 AM,1,85,0.006,0
landline,39,8/31/14 9:27 AM,5,102,0.005,0
4G,60,9/13/13 9:27 AM,0,62,0.007,0
4G,42,7/17/12 9:27 AM,1,91,0.014,0
4G,73,12/19/13 9:27 AM,0,20,0.019,0
fiber,26,1/30/11 9:27 AM,2,14,0.263,0
4G,1,5/23/13 9:27 AM,5,88,0.033,0
phone,51,2/22/15 9:27 AM,0,94,0.001,0
fiber,38,10/24/12 9:27 AM,7,27,0.235,0
fiber,80,8/12/13 9:27 AM,1,77,0.015,0
phone,39,3/17/14 10:27 AM,5,16,0.083,0
fiber,68,5/2/15 9:27 AM,2,77,0.006,0
phone,41,3/9/15 10:27 AM,1,86,0.002,0
fiber,48,4/7/11 9:27 AM,0,67,0.018,0
phone,12,4/16/14 9:27 AM,0,107,0.002,0
phone,6,6/24/12 9:27 AM,0,110,0.004,0
landline,26,1/17/13 9:27 AM,5,94,0.012,0
phone,74,5/14/13 9:27 AM,0,90,0.004,0
4G,12,8/24/11 9:27 AM,0,28,0.029,0
4G,46,1/28/13 9:27 AM,0,35,0.016,0
phone,66,3/11/12 10:27 AM,3,22,0.086,0
landline,74,10/16/15 9:27 AM,5,69,0.001,0
landline,6,3/12/15 10:27 AM,5,59,0.005,0
phone,77,6/5/13 9:27 AM,0,79,0.004,0
4G,52,1/14/15 9:27 AM,4,19,0.046,0
4G,4,11/2/14 9:27 AM,1,88,0.005,0
4G,12,11/12/10 9:27 AM,3,57,0.068,0
phone,60,11/12/15 9:27 AM,0,73,0,0
phone,36,8/30/14 9:27 AM,7,97,0.013,0
fiber,52,11/1/12 10:27 AM,1,14,0.112,0
phone,22,10/3/14 9:27 AM,1,35,0.009,0
fiber,9,10/26/12 9:27 AM,0,98,0.008,0
4G,79,6/12/14 9:27 AM,2,55,0.016,0
fiber,45,4/29/13 9:27 AM,7,83,0.064,0
4G,9,9/9/10 9:27 AM,1,20,0.1,0
phone,67,7/13/15 9:27 AM,10,58,0.01,0
4G,4,7/26/10 9:27 AM,0,65,0.016,0
fiber,4,8/13/14 9:27 AM,0,39,0.009,0
fiber,1,4/26/11 9:27 AM,6,45,0.182,0
4G,72,8/20/10 9:27 AM,0,71,0.014,0
fiber,35,11/15/12 9:27 AM,2,22,0.106,0
phone,33,9/12/10 9:27 AM,0,53,0.013,0
4G,38,1/27/14 9:27 AM,0,43,0.008,0
4G,9,11/15/13 9:27 AM,0,44,0.009,0
fiber,47,2/23/13 9:27 AM,2,46,0.046,0
fiber,77,11/17/14 9:27 AM,0,32,0.008,0
4G,17,4/10/14 9:27 AM,0,83,0.004,0
4G,9,4/11/11 9:27 AM,1,85,0.021,0
4G,76,1/31/12 9:27 AM,0,25,0.029,0
phone,53,4/28/13 9:27 AM,10,74,0.049,0
fiber,36,4/10/14 9:27 AM,3,84,0.02,0
4G,3,2/21/13 9:27 AM,0,12,0.044,0
phone,11,4/2/15 9:27 AM,3,21,0.017,0
